DOIs,degrees_1,degrees_2,page_rank_1,bfs_moments_1,bfs_moments_2,closeness_1,kcore_1,motifs_3_2,motifs_3_3,motifs_3_4,motifs_3_5,motifs_3_6,motifs_3_7,motifs_3_8,motifs_3_9,motifs_3_10,motifs_3_11,motifs_3_12,motifs_3_13,Gender,Personality,Meta
vampires,0.057513823,0.049792399,0.056498436,0.024190419,0.058878401,0.065310338,0.052891361,0.042433087,0.029358512,0.036780361,0.041495744,0.014872109,0.011050937,0.04898106,0.049485146,-0.006899695,0.002662082,0.028066692,0.026183963,None,None,None
cats,0.093334977,0.073370615,0.096537564,0.02744249,0.077215935,0.09389874,0.079131754,0.055844398,0.034356075,0.063022065,0.049219353,0.014981653,0.020867434,0.072875648,0.086687147,-0.007151896,0.010280365,0.041469223,0.049047638,None,Conscientiousness,Stability
summer,0.050236809,0.043520825,0.060972515,0.043195461,0.070209521,0.016459613,0.037377188,0.003674792,-0.001727693,0.028609347,0.005997516,-0.005988696,0.010023613,0.019522311,0.043801506,-0.006575624,-0.002349415,-0.002556784,0.024762489,None,None,None
camping,0.036520532,0.032365299,0.05222257,0.020281805,0.041679017,0.020937798,0.027253988,-0.003069955,-0.005474516,0.019840173,-0.000585674,-0.010290774,-0.000297443,0.021322655,0.040710069,-0.006134645,-0.001314331,0.002204727,0.020306185,None,None,None
food,0.054478941,0.052264019,0.075220309,0.050630319,0.082490605,0.020314708,0.043861501,-0.006479681,-0.005715097,0.029085909,0.003212901,-0.011073776,0.007990054,0.028094563,0.056603487,-0.009194916,-0.000842908,0.002265895,0.032540342,None,None,None
basketball,0.007459345,0.01121488,0.028527951,0.033630532,0.035253419,-0.030519253,0.000230032,-0.033197265,-0.027568326,-0.005056571,-0.024319102,-0.018672463,-0.004325669,-0.013734454,0.011064241,-0.005088379,-0.007789537,-0.016572735,0.003856934,Male,None,None
reading,0.106080179,0.074553075,0.124116429,0.059333165,0.11035669,0.100434752,0.079381211,0.042929429,0.003584109,0.051528757,0.032507167,-0.006511949,0.005024956,0.067174086,0.099197402,-0.016793838,-0.006925536,0.026123285,0.042527219,None,Extraversion,Plasticity
movies,0.080321466,0.072074679,0.122455125,0.088941212,0.137513675,0.032764536,0.057895714,-0.018864524,-0.024675358,0.033987909,-0.003978588,-0.030548183,-0.004745215,0.034883067,0.086061048,-0.020026086,-0.016438899,-0.009514815,0.034022464,None,Conscientiousness,Stability
concerts,0.053974425,0.047915021,0.065464244,0.041203299,0.083834599,0.034479882,0.042927543,0.015137027,0.00572089,0.029726246,0.018229789,-0.006955356,0.00309108,0.030281378,0.04780629,-0.008189744,-0.007186012,0.003390657,0.019258325,None,None,None
girls,0.02524839,0.033270907,0.036958275,0.026975451,0.056883721,0.004552513,0.024504288,-0.007607436,0.002521829,0.015622121,0.005408057,-0.003015644,0.005649147,0.015428785,0.026932515,-0.004408437,0.000122187,0.000915321,0.01675139,Female,None,None
poetry,0.072012843,0.064906759,0.086240425,0.040198615,0.096469641,0.066094452,0.058596931,0.026490455,0.018245967,0.044484541,0.031665118,-0.004751206,0.006207035,0.051798985,0.067750513,-0.011095926,-0.004176319,0.011014443,0.029274983,None,Openness to Exp.,Plasticity
the used,0.038566207,0.038293412,0.049842382,0.041038035,0.075547973,0.002464946,0.028319553,-0.006339908,-0.003184184,0.024532297,0.003297765,-0.012885536,0.004567559,0.013963954,0.037421826,-0.007366834,-0.006139875,-0.009286233,0.015401081,None,None,None
family,0.03767055,0.034163291,0.051870296,0.032030392,0.050698178,0.013466576,0.029784695,-0.001267484,-0.004931683,0.015008274,0.002107894,-0.003737547,0.005584539,0.016873909,0.032868954,-0.0039687,-0.001048454,0.002903315,0.019269077,Female,None,None
rain,0.078294528,0.063499245,0.087364186,0.04274198,0.090639251,0.05533441,0.061368157,0.028550855,0.017567862,0.051040193,0.028695758,-0.001471834,0.012831189,0.046630961,0.069461553,-0.008352155,-0.001098339,0.013642194,0.035746752,None,None,None
family guy,0.059764988,0.048413178,0.069814747,0.034309816,0.072185224,0.038928109,0.045367465,0.016059535,0.004987511,0.035389814,0.014867688,-0.00578775,0.00690706,0.033789854,0.055707214,-0.007642884,-0.003095412,0.006296653,0.026789581,None,None,None
taking back sunday,0.046639342,0.047159093,0.060579331,0.048121833,0.090467636,0.002149041,0.034829922,-0.008863453,-0.002769286,0.031060084,0.004111807,-0.016125858,0.008579716,0.017706235,0.046575264,-0.008110735,-0.00648013,-0.011807071,0.021558273,None,None,None
stars,0.0697411,0.060641466,0.080145853,0.043562462,0.093002107,0.042411923,0.054798005,0.020535638,0.014614638,0.04637948,0.023906364,-0.005093069,0.013416406,0.039784526,0.062385714,-0.009337412,-0.002771961,0.007003945,0.03260294,None,None,None
photography,0.10975959,0.091448436,0.115883147,0.043522028,0.128176332,0.114132243,0.095099373,0.063035064,0.041337374,0.074451247,0.06047175,0.011520124,0.019487197,0.084508385,0.102705975,-0.01052612,0.004732806,0.03335433,0.049228475,None,None,None
cooking,0.073725986,0.057471749,0.080363488,0.020267338,0.059851394,0.071800563,0.062434633,0.036616324,0.019175567,0.047537066,0.031122903,0.007511544,0.013853115,0.055939062,0.071985975,-0.006678512,0.00866143,0.030271129,0.042815633,None,None,None
computers,0.051401389,0.045610613,0.077596656,0.045055303,0.072925162,0.028990962,0.035409361,-0.010095105,-0.008718692,0.02727484,0.002774777,-0.014036621,0.002346328,0.028619569,0.057752186,-0.011293788,-0.002301801,0.002150259,0.028058231,Male,Extraversion,Plasticity
laughing,0.059996191,0.052724372,0.078226091,0.048369732,0.085897989,0.022006206,0.043718565,-0.000564468,-0.003248401,0.035372017,0.005499245,-0.012050082,0.007913305,0.026294733,0.056615047,-0.009721593,-0.004919283,-0.00193946,0.029135307,None,Agreeableness,Stability
sleeping,0.071870739,0.058187868,0.0934345,0.059422193,0.099179935,0.031124864,0.051227345,0.003109258,-0.007201262,0.039179744,0.005752616,-0.014427282,0.006147689,0.032068799,0.0680363,-0.010687554,-0.007182818,0.000448366,0.031385937,None,Neuroticism,Stability
tattoos,0.079929188,0.065551075,0.084192579,0.02447367,0.095930686,0.078044776,0.068139469,0.047043338,0.033501649,0.05654823,0.045531265,0.009882771,0.013271549,0.06125536,0.073429335,-0.007929016,0.004201504,0.024655987,0.03557589,None,None,None
