,0,1
190,ocd,0.7389658689498901
191,self-harm,0.7387586832046509
192,stronger,0.7379371523857117
193,dementia,0.736882746219635
194,diarrhea,0.7364511489868164
195,sanity,0.7363197207450867
196,acne,0.7362686395645142
197,induced,0.7361589074134827
198,dealing,0.7360873818397522
199,belief,0.7355600595474243
200,ongoing,0.7355241775512695
201,continues,0.7354605197906494
202,overcoming,0.7354533672332764
203,deadly,0.735302746295929
204,emotions,0.7350002527236938
205,arthritis,0.7349330186843872
206,quitting,0.734843909740448
207,nightmare,0.7344120740890503
208,strain,0.7343275547027588
209,insomnia,0.7342252731323242
210,illnesses,0.7341736555099487
211,unhealthy,0.7336161136627197
212,diagnosis,0.7335526943206787
213,escape,0.733510434627533
214,avoiding,0.7331902980804443
215,apocalypse,0.7331075072288513
