DOIs,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,Gender,Personality,Meta
art,6.100174259,1.211339728,0.574123982,-0.115082179,-0.625770091,0.520956992,0.388076713,0.177413603,0.085071682,-0.107166774,0.060837615,0.01355425,-0.054536255,-0.076918565,-0.007864811,-0.02222055,-0.027440371,0.005516698,0.009298109,None,None,None
rock,-3.482096931,-1.450564805,1.701763719,-0.001195961,-0.198443763,0.145887872,0.015381123,-0.040851119,0.195420104,-0.166994121,-0.082246083,-0.004037776,-0.02242884,0.027991202,0.067883692,-0.027802622,-0.00708883,-0.011084374,0.015002714,None,None,None
women,-3.094727989,-2.696179086,-0.290583783,0.157982436,0.096512355,0.618958011,0.153724238,0.026390011,-0.191300253,0.035511824,0.079874525,-0.018915087,0.032795114,-0.004109372,-0.020649631,0.037196889,-0.019657008,-0.011130228,0.013174853,None,None,None
soccer,-6.249339489,0.271370118,-0.066631896,0.122940217,0.519210428,-0.042842961,-0.143864499,0.015392362,-0.123525731,0.052107523,-0.044671413,-0.007817844,0.014256092,-0.021397866,0.0073147,0.014327839,-0.006708996,0.010039018,-0.001562239,Male,None,None
snow,-0.614939397,-0.161828996,-0.448095521,-0.045750428,-0.013486002,-0.32647649,-0.101923128,-0.121919668,0.035086261,-0.02194949,-0.030249867,-0.040563082,0.014739696,-0.034936884,-0.043149399,0.036873194,0.00079439,0.000819059,-0.000846271,None,None,None
coffee,4.534780532,-0.532358764,-1.173743295,0.209815309,-0.057016413,-0.148822101,0.298250074,-0.087264672,-0.210771644,0.070590486,0.008460664,0.038011622,0.013088187,-0.016860834,0.010628233,-0.04187537,-0.006078141,-0.004654096,0.003617854,None,None,None
dogs,-0.242569343,-1.338993686,-0.065052201,0.281257092,0.115955348,-0.252382302,0.218323693,0.155435684,-0.07427494,-0.083399926,0.012173705,-0.02121766,-0.010735316,0.010714755,0.032774162,0.000800595,-0.004287207,0.0037919,-0.012307375,None,None,None
dreams,1.621635166,-1.439650667,-0.026279633,0.053592909,-0.423504149,-0.151952209,-0.073438768,-0.111086616,0.059418454,-0.088820642,0.010805667,-0.091086771,-0.094737453,0.05577817,-0.016235644,0.016098576,0.003402832,0.008989182,-0.007245673,None,None,None
candles,0.232740376,-0.843737487,0.100100563,0.069330638,-0.561244657,-0.071914776,-0.269377757,0.039193396,0.115152829,0.080976741,-0.064817571,-0.103628772,0.035736486,-0.055612088,-0.009758722,0.042134843,-0.013053568,-0.01158233,-0.016812691,None,None,None
biking,-6.073979703,-0.762407652,0.436166551,0.801828242,0.104264352,0.260103182,-0.24926737,-0.003600524,0.075125002,0.006094024,0.072182495,-0.058362015,0.063499555,-0.049403394,-0.013416552,-0.001991942,0.027227148,0.007842171,0.009460258,None,None,None
pictures,-0.949594212,0.495223893,0.138145514,-1.071471008,-0.269538719,0.47897624,-0.037043291,-0.216114941,0.062366145,-0.184982747,-0.159678376,-0.005044038,-0.013157279,-0.055342373,-0.025802968,-0.018977223,0.007585706,-0.013155335,-0.014617185,None,None,None
chocolate,4.195700096,-0.136873524,-1.5627835,-0.157676205,0.914004582,-0.294120554,-0.081461578,-0.029170971,-0.031936983,0.001128543,-0.005720224,0.004091815,-0.055095802,0.043409923,-0.024220921,-0.030374404,-0.013330395,0.004247118,0.010303274,Female,None,None
traveling,-0.527137066,-0.700537573,0.086853078,0.555535431,-0.12450403,-0.281318376,0.067371716,0.151590165,-0.068534463,0.078737356,-0.010597292,0.033540717,-0.058019176,-0.029957139,-0.019272581,-0.01139832,-0.004160169,-0.012842566,0.003889323,None,None,None
green day,-2.963228717,0.068562895,0.185458634,-0.417739671,-0.18056401,-0.297802207,0.032536044,-0.071071651,0.068612691,-0.04820402,-0.032836268,-0.006567681,0.015438458,0.054445854,0.023106337,-0.013479821,-0.010714429,-0.013997593,0.00600263,None,None,None
punk,-1.640629364,-1.494318455,1.14971527,-0.10256907,-0.876227523,0.528612913,0.020350886,-0.240682474,-0.099061121,-0.045507756,-0.083989669,-0.036407215,0.099324818,0.036914297,0.022870638,-0.009663257,-0.011005154,0.001430996,0.012647888,None,None,None
life,-0.8014406,-1.828711148,-0.42092484,-0.148624659,-0.078060353,0.168189884,0.173578863,0.040067176,0.119354223,-0.113286007,-0.00172315,-0.07165487,0.040551008,0.020584549,-0.007354813,-0.001449537,-0.001521815,0.01020011,-0.019719404,Male,Neuroticism,Stability
shopping,-2.815533693,2.377337484,0.36850901,-0.62250202,0.228620622,-0.367336524,-0.146743309,0.366838215,-0.061183959,0.093930243,-0.105066949,-0.022638638,-0.038936162,-0.0288927,-0.000667822,-0.011964053,0.013988222,0.043407107,0.001665962,Female,None,None
kissing,2.238482795,-0.625236559,-1.376564802,-0.492593179,-0.455349776,0.040940419,-0.21913169,-0.012362918,0.055396223,0.108919509,0.0560339,0.022889191,0.021980789,-0.020505153,0.002327333,-0.029480698,0.009475,-0.008126788,-0.004943311,None,None,None
writing,5.68956348,3.772089478,1.980246409,0.758651445,-0.16779977,0.24095083,-0.336324675,0.007105086,-0.072088736,-0.042931561,0.111285188,-0.04824903,-0.016032271,0.039922305,-0.045018692,-0.017997811,-0.015779703,-0.01702109,0.017736262,None,None,None
manga,1.629959228,-1.181964908,3.773837121,-0.379373238,0.605710362,-0.527370546,0.572386992,-0.049543668,0.285901631,0.09316179,-0.02588159,0.051960417,0.05521159,0.027154137,-0.014018878,-0.000230503,0.012092151,0.002764811,-0.011607766,None,Extraversion,Plasticity
singing,-0.135588771,2.287316302,-1.079170067,-0.42583155,0.670488855,-0.050773271,-0.071681526,0.08315684,0.097958557,0.029390091,0.138034801,-0.114218502,-0.025295815,0.010264279,-0.051368006,-0.016519229,0.02217689,-0.025623637,0.013817385,None,None,None
lord of the rings,4.23764241,-1.283857334,-0.122214174,-0.255348074,0.806846605,-0.186892017,-0.391079046,-0.128008379,-0.002081339,-0.059466241,0.070271712,-0.023113226,0.043674864,-0.037475071,0.017239316,0.02406927,0.025666732,0.009375493,-0.008288575,None,None,None
football,-4.63675562,-0.942528336,-0.178079844,0.052920347,0.54658488,0.039077467,0.048197556,-0.043534646,-0.14622647,0.06389566,0.001307191,0.060808442,-0.05849914,0.031123399,0.023030604,0.000853625,0.0024708,0.003817459,0.002398943,None,None,None
dvds,-3.722983692,-0.104111111,0.812352897,0.425350574,-0.021489423,0.054333307,-0.371033251,-0.094953505,-0.055278481,-0.005079915,0.134787484,-0.011416338,0.033404066,-0.010976006,0.017350336,0.027357661,-0.04723872,0.004732307,-0.022122947,None,None,None
friends,-0.392018465,5.948789163,-1.164289955,-0.797577518,0.705356133,0.163744519,0.092533839,-0.105390235,-0.086398728,-0.004678162,-0.061461218,-0.111123236,-0.033834745,-0.05240507,0.025931622,0.007171085,0.009071179,-0.011789763,0.000515613,Female,None,None
painting,-1.012314046,-0.533501617,0.83082498,0.61562373,-0.667278575,0.042794895,-0.24458203,0.130240269,0.044820991,-0.146980147,0.027866605,0.124352773,0.025498227,0.006047587,-0.037610436,-0.016418701,0.002749174,-0.007441452,0.006485066,None,None,None
