DOIs,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
cars,-5.1111973183878945,-0.9635675354077301,-0.18259660774819586,0.25643172327250685,-0.10076682995307193,-0.06704364621461803,0.24486505914277115,0.034659491320137584,0.1596750069220155,0.15140499388481,0.06981544343713501,0.052586267112811474,0.08403930828340977,-0.09695241937334849,-0.05475056716391008,-0.030056812071047698,0.01774853461556447,0.008151007280906727,-0.005092064712349273,0.0005602995429811592
cats,6.866382017879698,-1.3593401150050874,-1.4556412649012056,0.5445616053115621,-0.00045200810700065405,-0.1701214059838672,-0.08782535136473124,0.10094349298981195,0.1309520438194239,0.054398965012132,0.018747769690374175,0.02152428278354602,-0.008176929359792449,-0.0405577047454786,-0.09676747005821656,0.010633473116922263,-0.04301831263067377,0.0517804743579572,-0.009204902960881856,-0.007177573167656602
cheese,-0.8559010019213422,0.1262696139239474,-1.0971766981354967,0.48366067716038696,0.020235612693458884,0.008397120166269706,0.16648124932250888,-0.09572270483767116,-0.20708431033795763,0.07061605298118002,0.02836805936002132,0.041987777985777824,0.04591662110883382,0.0430448110903314,-0.0230621579521129,-0.06804487911690463,0.006497128493995179,-0.00844624400924212,-0.012114566425635874,-0.0049330324321139
chocolate,4.2997740606422115,-0.19044658123551483,-1.6106264529967707,0.15250778735056966,0.6690085395202938,-0.5425455563375685,-0.28670788958178406,-0.10002572201865735,0.018567513870096065,0.00912940438249509,0.026191575728723642,-0.017112795083709435,-0.008555393375730141,-0.1026000604619287,-0.06840811920749745,-0.028902669706248565,-0.015887848958567877,-0.05525175661024976,0.0007339083082054864,7.249519456517582e-05
clothes,-2.298183497106833,-1.1900375425485195,-0.02356035316517283,-0.3552475160163314,0.6585776703970321,0.5859490954999385,0.016939949906989816,-0.16579617597080698,0.1290259240111411,-0.08347500601188487,-0.04497712502512698,-0.06397333506084742,0.01305354438059213,0.0009661013439592604,0.041534399429766396,-0.02102381786899893,0.05547720921414463,0.002890151072091236,-0.016229283225744955,0.03413785199041804
coffee,4.645301785120002,-0.6504579735764774,-1.229121686321707,0.13451499116294544,-0.1402070023437632,0.1573078661850518,-0.16381978189656657,0.40974969701884767,-0.11419604352465668,-0.20968943448420355,0.048098370871655124,-0.002394313489433128,0.05323875919912595,-0.011539255819920626,-0.004185621090847807,0.03260809560760343,-0.018152382866718917,-0.007689119142949044,0.001161267256863669,0.0001128933072792696
computers,-1.213396099815788,1.6669750711772142,-0.6135422058919253,0.9091595576063374,-0.030701785645357558,-0.24091924695746952,0.4727442802787451,0.03737037655948576,0.16833251671083707,0.21706907490325436,0.03566967155143062,0.19236223214182865,-0.016860856148669102,0.03037032560786281,-0.011331110171894034,0.0680275268227227,-0.012686167319215458,-0.023967706252988347,-0.028896748333481482,0.012933332804796825
concerts,-0.8477089738592468,1.082087951997991,0.8432129063284679,-0.6574016872316776,-0.41718261660607314,0.21326411531894718,-0.25450599873775054,0.1641601899290701,-0.13249873589134303,-0.18820314362024307,0.01414724514485271,-0.006940562861496721,-0.031289050646539106,0.011913733178283745,-0.06633611723213638,0.031582290569255655,-0.002021584728205084,-0.004002161991692053,-0.011980164968496717,-0.012733163498692867
cooking,3.9043806576947544,-1.8887634756429956,-1.5232326298357168,1.2970641861359211,0.03898668565084433,-0.010967813442034444,0.24694740754498362,-0.02172320142668229,0.1830525522377677,0.009400718472818528,0.05846292358781861,-0.1703902636859895,0.0368190638003664,0.12615344715135215,-0.016019759632786793,0.01907035467297423,0.0014767070129986755,0.0006937084008138748,0.032212476346342785,-0.01408100521257259
dancing,0.06286271835064579,2.667201722905484,-1.6675726808183216,-0.09548385878658557,0.49899181493593187,-0.09978900157437383,0.09193320451755183,-0.14229626995586422,0.09999773221352642,-0.07810462877797804,-0.049514400030742194,0.05628607591913305,0.00891753716499548,-0.002229199785212199,0.032447921983368905,-0.031636617711905186,-0.019478249831972314,0.006108772994163818,0.00924073133268916,-0.020761151054506894
